,film_code,cinema_code,total_sales,tickets_sold,tickets_out,show_time,occu_perc,ticket_price,ticket_use,capacity,date,month,quarter,day
222,1484,51,42500000,444,0,9,16.13,95720.72072072072,444,2752.6348419094857,2018-04-27,4,2,27
223,1493,163,6120000,51,0,3,27.27,120000.0,51,187.01870187018704,2018-09-02,9,3,2
224,1493,39,3250000,36,0,6,3.49,90277.77777777777,36,1031.5186246418336,2018-07-29,7,3,29
225,1482,155,2880000,63,0,3,10.71,45714.285714285725,63,588.2352941176471,2018-04-18,4,2,18
226,1481,251,1020000,17,0,8,2.83,60000.0,17,600.7067137809187,2018-05-16,5,2,16
227,1556,223,4240000,106,0,12,4.04,40000.0,106,2623.762376237624,2018-08-14,8,3,14
228,1511,310,1400000,20,0,3,1.48,70000.0,20,1351.3513513513515,2018-08-26,8,3,26
229,1482,514,5680000,71,0,2,30.54,80000.0,71,232.48199083169612,2018-04-12,4,2,12
230,1481,165,16640000,369,0,2,61.6,45094.85094850949,369,599.0259740259739,2018-04-29,4,2,29
231,1562,450,34200000,235,0,5,41.96,145531.91489361698,235,560.0571973307912,2018-08-16,8,3,16
232,1483,531,1320000,22,0,4,6.71,60000.0,22,327.86885245901635,2018-04-08,4,2,8
233,1554,182,100400000,1255,0,5,44.19,80000.0,1255,2840.00905182168,2018-07-12,7,3,12
234,1576,352,26140000,205,0,8,8.4,127512.19512195126,205,2440.4761904761904,2018-10-24,10,4,24
235,1554,515,4550000,91,0,1,17.5,50000.0,91,520.0,2018-08-16,8,3,16
236,1498,495,300000,5,0,1,1.75,60000.0,5,285.7142857142857,2018-08-30,8,3,30
237,1493,380,30705000,334,0,5,19.67,91931.13772455088,334,1698.017285205897,2018-05-04,5,2,4
238,1483,522,50100000,340,0,7,47.29,147352.9411764706,340,718.9680693592726,2018-03-25,3,1,25
239,1556,362,4760000,136,0,4,21.32,35000.0,136,637.8986866791745,2018-08-28,8,3,28
240,1553,467,5950000,119,0,2,14.88,50000.0,119,799.7311827956988,2018-10-26,10,4,26
241,1485,43,14320000,179,0,2,34.42,80000.0,179,520.0464846019756,2018-04-02,4,2,2
242,1498,210,18960000,474,0,6,19.22,40000.0,474,2466.1810613943812,2018-07-03,7,3,3
243,1481,534,400000,10,0,2,7.19,40000.0,10,139.08205841446454,2018-05-23,5,2,23
244,1499,534,700000,10,0,4,2.84,70000.0,10,352.11267605633805,2018-07-14,7,3,14
245,1499,467,1500000,30,0,2,3.75,50000.0,30,800.0,2018-06-25,6,2,25
246,1556,536,240000,4,0,1,4.0,60000.0,4,100.0,2018-08-22,8,3,22
247,1553,451,400000,8,0,4,1.74,50000.0,8,459.77011494252866,2018-10-21,10,4,21
248,1559,524,7280000,91,0,3,25.71,80000.0,91,353.94788020225593,2018-10-09,10,4,9
249,1559,196,2240000,30,0,3,12.24,74666.66666666669,30,245.0980392156863,2018-08-03,8,3,3
250,1486,524,34500000,230,3,7,68.45,150000.0,227,336.0116873630387,2018-04-13,4,2,13
251,1573,34,27840000,233,0,6,8.63,119484.97854077251,233,2699.8841251448434,2018-10-10,10,4,10
252,1558,338,880000,11,0,1,5.16,80000.0,11,213.17829457364343,2018-08-26,8,3,26
253,1499,548,950000,19,0,1,7.06,50000.0,19,269.1218130311615,2018-10-24,10,4,24
254,1511,468,1050000,15,0,2,5.1,70000.0,15,294.11764705882354,2018-07-25,7,3,25
255,1493,430,3400000,34,0,3,13.28,100000.0,34,256.0240963855422,2018-05-26,5,2,26
256,1554,34,24780000,418,0,1,92.89,59282.2966507177,418,449.9946172892669,2018-10-06,10,4,6
257,1578,503,800000,10,0,2,10.1,80000.0,10,99.009900990099,2018-10-27,10,4,27
258,1558,475,1470000,21,0,4,3.62,70000.0,21,580.1104972375691,2018-09-06,9,3,6
259,1494,397,150000,3,0,4,0.22,50000.0,3,1363.6363636363635,2018-07-16,7,3,16
260,1495,489,620000,6,0,6,2.0,103333.33333333331,6,300.0,2018-06-20,6,2,20
261,1484,163,46440000,487,0,7,40.92,95359.34291581108,487,1190.1270772238513,2018-04-29,4,2,29
262,1576,445,20760000,173,0,13,14.5,120000.0,173,1193.1034482758619,2018-10-03,10,4,3
263,1481,447,1360000,34,0,2,17.71,40000.0,34,191.98193111236588,2018-05-01,5,2,1
264,1564,474,1280000,16,0,1,69.57,80000.0,16,22.99841885870347,2018-08-24,8,3,24
265,1483,484,3780000,126,0,3,28.0,30000.0,126,450.0,2018-04-17,4,2,17
266,1494,259,3360000,84,0,1,26.42,40000.0,84,317.94095382286145,2018-06-15,6,2,15
267,1484,362,3710000,53,0,4,8.31,70000.0,53,637.7858002406739,2018-05-03,5,2,3
268,1576,479,7720000,193,0,3,38.07,40000.0,193,506.96086157079066,2018-10-02,10,4,2
269,1556,51,2640000,26,0,3,1.49,101538.46153846152,26,1744.9664429530205,2018-10-01,10,4,1
270,1494,432,3180000,50,0,2,8.2,63600.0,50,609.7560975609756,2018-05-27,5,2,27
271,1485,513,19500000,233,0,2,52.01,83690.98712446351,233,447.9907710055759,2018-06-08,6,2,8
272,1481,338,1000000,14,0,1,5.69,71428.57142857142,14,246.04569420035148,2018-07-01,7,3,1
273,1497,489,10270000,75,0,14,9.57,136933.33333333337,75,783.6990595611286,2018-06-16,6,2,16
274,1559,455,880000,11,0,3,2.86,80000.0,11,384.6153846153846,2018-08-27,8,3,27
275,1483,50,8300000,83,0,6,4.28,100000.0,83,1939.2523364485987,2018-03-16,3,1,16
